Time,CPU_CAP,CPU_USAGE,MEM_CAP,MEM_USAGE,CPU_AVAI,MEM_AVAI,NET_IN,NET_OUT,VBD_OO,VBD_RD,VBD_WR,LOAD1,LOAD5,Label
1316327467,100,25,511,441,75,70,9,38,0,0,0,0.38,0.51,0
1316327468,100,29,511,441,71,70,14,52,0,0,0,0.35,0.50,0
1316327469,100,31,511,441,69,70,7,21,0,0,0,0.35,0.50,0
1316327470,100,18,511,441,82,70,10,60,0,0,0,0.35,0.50,0
1316327471,100,48,511,441,52,70,10,52,0,0,0,0.35,0.50,0
1316327472,100,12,511,441,88,70,7,31,0,0,0,0.35,0.50,0
1316327473,100,25,511,441,75,70,7,29,0,0,0,0.32,0.50,0
1316327474,100,13,511,441,87,70,9,49,0,0,0,0.32,0.50,0
1316327475,100,37,511,441,63,70,9,43,0,0,0,0.32,0.50,0
1316327476,100,47,511,441,53,70,12,60,0,0,0,0.32,0.50,0
1316327477,100,20,511,441,80,70,7,43,0,0,0,0.32,0.50,0
1316327478,100,52,511,441,48,70,11,55,0,0,0,0.38,0.50,0
1316327479,100,11,511,441,89,70,5,28,0,0,0,0.38,0.50,0
1316327480,100,14,511,441,86,70,11,56,0,0,0,0.38,0.50,0
1316327481,100,36,511,441,64,70,12,57,0,0,0,0.38,0.50,0
1316327482,100,30,511,441,70,70,8,44,0,0,0,0.38,0.50,0
1316327483,100,29,511,441,71,70,10,56,0,0,0,0.35,0.50,0
1316327484,100,11,511,441,89,70,10,40,0,0,0,0.35,0.50,0
1316327485,100,23,511,441,77,70,11,58,0,0,0,0.35,0.50,0
1316327486,100,18,511,441,82,70,7,40,0,0,0,0.35,0.50,0
1316327487,100,48,511,441,52,70,11,45,0,0,0,0.35,0.50,0
1316327488,100,34,511,441,66,70,8,31,0,0,0,0.32,0.49,0
1316327489,100,15,511,441,85,70,7,41,0,0,0,0.32,0.49,0
1316327490,100,14,511,441,86,70,7,24,0,0,0,0.32,0.49,0
1316327491,100,15,511,441,85,70,5,27,0,0,0,0.32,0.49,0
1316327492,100,12,511,441,88,70,9,35,0,0,0,0.32,0.49,0
1316327493,100,19,511,441,81,70,6,29,0,0,0,0.29,0.48,0
1316327494,100,52,511,441,48,70,9,40,0,0,0,0.29,0.48,0
1316327495,100,6,511,441,94,70,6,26,0,0,0,0.29,0.48,0
1316327496,100,25,511,441,75,70,10,52,0,0,0,0.29,0.48,0
1316327497,100,27,511,441,73,70,10,55,0,0,0,0.29,0.48,0
1316327498,100,13,511,441,87,70,10,48,0,0,0,0.27,0.47,0
1316327499,100,15,511,441,85,70,6,26,0,0,0,0.27,0.47,0
1316327500,100,27,511,441,73,70,8,42,0,0,0,0.27,0.47,0
1316327501,100,16,511,441,84,70,10,37,0,0,0,0.27,0.47,0
1316327502,100,21,511,441,79,70,11,60,0,0,0,0.27,0.47,0
1316327503,100,14,511,441,86,70,6,24,0,0,0,0.25,0.46,0
1316327504,100,29,511,441,71,70,9,53,0,0,0,0.25,0.46,0
1316327505,100,42,511,441,58,70,14,69,0,0,0,0.25,0.46,0
1316327506,100,13,511,441,87,70,8,39,0,0,0,0.25,0.46,0
1316327507,100,26,511,441,74,70,13,48,0,0,0,0.25,0.46,0
1316327508,100,20,511,441,80,70,10,56,0,0,0,0.39,0.49,0
1316327509,100,17,511,441,83,70,7,31,0,0,0,0.39,0.49,0
1316327510,100,12,511,441,88,70,7,37,0,0,0,0.39,0.49,0
1316327511,100,25,511,441,75,70,6,31,0,0,0,0.39,0.49,0
1316327512,100,35,511,441,65,70,9,49,0,0,0,0.39,0.49,0
1316327513,100,24,511,441,76,70,11,56,0,0,0,0.36,0.48,0
